Comment,Designator,Footprint,LCSC Part #
2150,"R11,R3,R7",0603,C2960889
2.7nF,"C15,C16",0603,C1609
Bus,J4,PinHeader_2x14_P2.54mm_Vertical,C725886
VGA,J1,ICD15S13E4GV00LF,C3121412
74CBTLV3126PW,118,U2,TSSOP-14_4.4x5mm_P0.65mm,C478017
47k,"R17,R19,R20,R21,R22,R23,R24,R27,R30,R31",0603,C25819
WM8524CGEDT,U3,TSSOP-16_4.4x5mm_P0.65mm,C146242
1,"R28,R29",0603,C22936
NRS4018T2R2MDGJ,L1,L_Bourns-SRN4018,C92959
W25Q16JVSNIQ,U4,SOIC-8_3.9x4.9mm_P1.27mm,C115407
330,"R35,R36,R37",0603,C23138
TLV62568DBVR,U7,SOT-23-5,C163219
100nF,"C1,C10,C14,C2,C27,C3,C30,C4,C5",0603,C14663
SW_Push,SW1,SW_PUSH_6mm,C455112
1.5k,"R32,R33",0603,C22843
USB_A,"J5,J6",USB_A_Receptacle_XKB_U231-091N-4BLRA00-S,C2880618
4.7uF,"C17,C18,C19,C6,C7,C8,C9",0603,C19666
ICE40UP5K-SG48I,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,C2678152
Flashenable,JP1,PinHeader_1x02_P2.54mm_Vertical,C5360898
LED_BGKR,D1,LED_D5.0mm-4_RGB_Wide_Pins,C7117555
820,"R13,R14",0603,C23253
10uF,"C23,C24,C25,C26,C28,C29,C31,C32",0805,C15850
560,"R25,R26",0603,C23204
536,"R1,R5,R9",0603,C23201
SX5M25.000M20F30TNN,X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,C2901535
MIC5504-3.3YM5,U8,SOT-23-5,C41348078
Prog,J2,PinHeader_1x08_P2.54mm_Vertical,C5156616
FerriteBead_Small,"FB1,FB2",0603,C1027
4300,"R12,R4,R8",0603,C23159
1u,"C12,C13",0603,C15849
2.2uF,C11,0603,C23630
10k,"R15,R16,R18,R34",0603,C25804
1070,"R10,R2,R6",0603,C177957
Barrel_Jack,J7,BarrelJack_CUI_PJ-063AH_Horizontal,C22434582
SD_Card,J3,693063010911,C341097
SN74AHC00PWR,U9,TSSOP-14_4.4x5mm_P0.65mm,C8143
